name,model_type,metric_type,metric_value,train_time,single_prediction_time
1_Linear,Linear,logloss,0.17049259599520886,140.39,0.6192
2_Default_LightGBM,LightGBM,logloss,0.20057563331492467,237.54,0.037
3_Default_Xgboost,Xgboost,logloss,0.22441394398917722,34.19,0.1355
4_Default_CatBoost,CatBoost,logloss,0.15424251476185508,23.76,0.0818
5_Default_NeuralNetwork,Neural Network,logloss,0.30434664920918314,25.32,0.278
6_Default_RandomForest,Random Forest,logloss,0.1326821463528194,66.99,0.7271
11_LightGBM,LightGBM,logloss,1.0988728268700967,30.15,0.2037
7_Xgboost,Xgboost,logloss,0.2174323019998245,153.68,0.119
15_CatBoost,CatBoost,logloss,0.17361228852143137,27.67,0.0916
19_RandomForest,Random Forest,logloss,0.12343841520084191,46.26,0.6083
23_NeuralNetwork,Neural Network,logloss,0.4134997626746761,24.75,0.2023
12_LightGBM,LightGBM,logloss,0.16498404909980807,238.66,0.0756
8_Xgboost,Xgboost,logloss,0.22370360030472766,82.15,0.1821
16_CatBoost,CatBoost,logloss,0.1673565068767635,28.89,0.4346
20_RandomForest,Random Forest,logloss,0.14811205242582676,43.58,0.4545
24_NeuralNetwork,Neural Network,logloss,0.1641108995647419,22.3,0.4597
13_LightGBM,LightGBM,logloss,0.1652032805753869,146.98,0.1604
9_Xgboost,Xgboost,logloss,1.0984691928537984,29.77,0.14
17_CatBoost,CatBoost,logloss,0.14499341364330062,25.15,0.1122
21_RandomForest,Random Forest,logloss,0.18413996491294066,40.81,0.1774
25_NeuralNetwork,Neural Network,logloss,0.36342431124611624,25.02,0.6747
14_LightGBM,LightGBM,logloss,0.20057563331492467,55.79,0.3538
10_Xgboost,Xgboost,logloss,1.098612258865788,24.13,0.07
18_CatBoost,CatBoost,logloss,0.16539964921076578,19.29,0.151
22_RandomForest,Random Forest,logloss,0.46433007540165044,60.93,0.3257
26_NeuralNetwork,Neural Network,logloss,0.25977386480486986,43.22,0.216
19_RandomForest_GoldenFeatures,Random Forest,logloss,0.07887612460395234,53.5,0.4881
6_Default_RandomForest_GoldenFeatures,Random Forest,logloss,0.1237655183318609,51.84,0.429
17_CatBoost_GoldenFeatures,CatBoost,logloss,0.11049254680145901,24.99,0.2458
27_RandomForest_GoldenFeatures,Random Forest,logloss,0.07500251975366369,23.36,1.4589
28_RandomForest_GoldenFeatures,Random Forest,logloss,0.08842630257459391,26.33,0.3495
29_CatBoost_GoldenFeatures,CatBoost,logloss,0.11536392713199688,24.08,0.3417
30_CatBoost_GoldenFeatures,CatBoost,logloss,0.1171197637191879,22.22,0.2265
31_RandomForest,Random Forest,logloss,0.119288368393034,30.7,0.1902
32_RandomForest,Random Forest,logloss,0.15580602353626313,23.67,0.3492
33_CatBoost,CatBoost,logloss,0.16009839559667113,18.19,0.0551
34_CatBoost,CatBoost,logloss,0.14742933845704892,10.89,0.0399
35_NeuralNetwork,Neural Network,logloss,0.15591288039670972,16.57,0.2094
36_LightGBM,LightGBM,logloss,0.18332653810189392,18.44,0.0718
37_LightGBM,LightGBM,logloss,0.1639257192555891,14.23,0.0699
38_LightGBM,LightGBM,logloss,0.1652032805753869,29.15,0.2952
39_Xgboost,Xgboost,logloss,0.22441394398917722,17.11,0.1021
40_Xgboost,Xgboost,logloss,0.3114391417668527,23.32,0.0981
41_Xgboost,Xgboost,logloss,0.21854608874659914,105.17,0.0994
42_NeuralNetwork,Neural Network,logloss,0.5667482796877564,11.84,0.1102
43_NeuralNetwork,Neural Network,logloss,0.39542193936141457,9.53,0.1336
44_RandomForest_GoldenFeatures,Random Forest,logloss,0.0800355026854206,72.49,0.2445
45_RandomForest_GoldenFeatures,Random Forest,logloss,0.08285590473599684,70.1,0.2829
46_CatBoost_GoldenFeatures,CatBoost,logloss,0.11422642759175371,34.8,0.2218
47_CatBoost_GoldenFeatures,CatBoost,logloss,0.10929985308102973,25.04,0.2103
48_LightGBM,LightGBM,logloss,0.1639257192555891,85.86,0.0821
49_NeuralNetwork,Neural Network,logloss,0.2618699167984159,26.9,0.0808
50_LightGBM,LightGBM,logloss,0.16498404909980807,21.44,0.0551
51_Xgboost,Xgboost,logloss,0.22334876114334004,13.82,0.0455
52_Xgboost,Xgboost,logloss,0.21912313864776975,13.64,0.2234
Ensemble,Ensemble,logloss,0.07887612460395234,1.12,0.2902
